provider_id,state,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,readm_30_ami_hrrp_number_of_readmissions,readm_30_cabg_hrrp_number_of_readmissions,readm_30_copd_hrrp_number_of_readmissions,readm_30_hf_hrrp_number_of_readmissions,readm_30_hip_knee_hrrp_number_of_readmissions,readm_30_pn_hrrp_number_of_readmissions,readm_30_ami_hrrp_number_of_discharges,readm_30_cabg_hrrp_number_of_discharges,readm_30_copd_hrrp_number_of_discharges,readm_30_hf_hrrp_number_of_discharges,readm_30_hip_knee_hrrp_number_of_discharges,readm_30_pn_hrrp_number_of_discharges,readm_30_ami_hrrp_excess_readmission_ratio,readm_30_cabg_hrrp_excess_readmission_ratio,readm_30_copd_hrrp_excess_readmission_ratio,readm_30_hf_hrrp_excess_readmission_ratio,readm_30_hip_knee_hrrp_excess_readmission_ratio,readm_30_pn_hrrp_excess_readmission_ratio,readm_30_ami_hrrp_predicted_readmission_rate,readm_30_cabg_hrrp_predicted_readmission_rate,readm_30_copd_hrrp_predicted_readmission_rate,readm_30_hf_hrrp_predicted_readmission_rate,readm_30_hip_knee_hrrp_predicted_readmission_rate,readm_30_pn_hrrp_predicted_readmission_rate,readm_30_ami_hrrp_expected_readmission_rate,readm_30_cabg_hrrp_expected_readmission_rate,readm_30_copd_hrrp_expected_readmission_rate,readm_30_hf_hrrp_expected_readmission_rate,readm_30_hip_knee_hrrp_expected_readmission_rate,readm_30_pn_hrrp_expected_readmission_rate,value
100286,FL,Acute Care Hospitals,Proprietary,1,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,33.0,,68.0,87.0,69.0,61.0,197.0,,463.0,447.0,1245.0,513.0,1.0364,,0.8768,0.9504,1.1688,0.8619,15.7074,,16.5328,20.1528,5.2972,13.3299,15.1555,,18.8558,21.2034,4.5321,15.4649,0.948204
100287,FL,Acute Care Hospitals,Proprietary,1,1,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,11.0,,41.0,99.0,0.0,75.0,74.0,,183.0,358.0,,491.0,0.9727,,1.0328,1.1588,0.9616,0.9689,17.0723,,21.2039,25.0605,4.7032,15.6027,17.551,,20.5312,21.6266,4.8909,16.1037,1.054586
100288,FL,Acute Care Hospitals,Proprietary,1,1,1.0,2.0,3.0,1.0,1.0,2.0,1.0,,,,12.0,27.0,11.0,12.0,,,50.0,66.0,148.0,62.0,,,1.0392,1.177,1.1522,1.0375,,,18.9639,25.2969,5.5604,16.3065,,,18.2485,21.4925,4.8257,15.717,1.110487
100289,FL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,34.0,89.0,21.0,53.0,,,149.0,367.0,542.0,318.0,0.9094,1.0283,1.0235,1.0408,0.8865,0.9806,13.354000000000001,13.6983,21.7531,23.5665,4.3096,16.9858,14.6844,13.3207,21.2528,22.6435,4.8615,17.3218,0.9533719999999999
100290,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,137.0,,173.0,275.0,17.0,236.0,837.0,,959.0,1190.0,278.0,1370.0,0.9931,,0.9807,1.0385,1.102,1.0104,16.4163,,18.1722,22.9114,5.4304,17.1871,16.5299,,18.5295,22.0617,4.9278,17.0101,1.005362
100291,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,11.0,,19.0,35.0,14.0,41.0,53.0,,135.0,126.0,192.0,234.0,1.0311,,0.9334,1.0841,1.185,1.0077,17.3327,,17.4465,23.7775,5.5583,17.3525,16.8103,,18.6918,21.9339,4.6903,17.2207,1.0634139999999999
100292,FL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,11.0,,46.0,48.0,0.0,47.0,83.0,,206.0,194.0,,302.0,0.9554,,1.0272,1.0524,0.7348,0.9504,16.506,,21.4395,23.0936,3.4338,16.4328,17.2772,,20.8708,21.9436,4.6733,17.2905,0.9669120000000001
100296,FL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,,81.0,46.0,0.0,46.0,,,290.0,215.0,,284.0,1.0594,,1.1363,0.9749,0.8758,0.9665,24.6217,,24.8304,22.1336,4.4382,16.8183,23.2419,,21.8515,22.7026,5.0675,17.4017,1.040931
100298,FL,Acute Care Hospitals,Government - State,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100299,FL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,21.0,,32.0,44.0,0.0,26.0,135.0,,186.0,228.0,,206.0,0.9923,,0.9725,0.9619,0.8423,0.9332,15.8888,,18.1822,20.3324,3.8335,14.2977,16.0116,,18.6958,21.1383,4.5514,15.3211,1.059296
100302,FL,Acute Care Hospitals,Proprietary,1,1,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,,43.0,39.0,,58.0,,,262.0,183.0,,265.0,0.9741,,0.9295,0.9571,,1.0651,18.81,,18.2599,22.8294,,20.6053,19.3095,,19.645,23.8538,,19.3454,1.0520129999999999
100307,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,,47.0,60.0,43.0,102.0,,0.0,233.0,292.0,868.0,536.0,0.9412,,1.0064,0.9448,1.0749,1.0448,15.9886,,19.9867,21.7545,4.7917,18.599,16.9872,,19.8596,23.0249,4.4578,17.8023,0.9692270000000001
100313,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,,2.0,3.0,2.0,3.0,,,,0.0,0.0,,0.0,,,,,,,,,0.9023,0.9095,,0.9471,,,16.8638,18.6629,,14.5081,,,18.69,20.5206,,15.3178,0.9734440000000001
100314,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,2.0,2.0,2.0,2.0,1.0,,0.0,,31.0,51.0,,50.0,,,140.0,224.0,,248.0,1.0019,,0.9959,0.9647,,1.0529,22.2029,,22.3464,23.7932,,19.0569,22.1618,,22.4376,24.6627,,18.0995,0.9498629999999999
100315,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,,24.0,29.0,28.0,36.0,,,119.0,149.0,459.0,229.0,0.9867,,1.0175,0.9552,1.1561,0.9963,19.1977,,19.2147,21.3634,5.4802,15.8021,19.4559,,18.8845,22.366,4.74,15.8608,0.989027
100316,FL,Acute Care Hospitals,Proprietary,1,1,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,,63.0,68.0,23.0,56.0,,,289.0,244.0,231.0,330.0,1.036,,1.0475,1.1177,1.4575,0.9973,18.4471,,20.7158,24.9824,6.7296,17.0122,17.8068,,19.7756,22.3517,4.6172,17.0585,1.021917
100319,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,,24.0,22.0,12.0,29.0,,,137.0,146.0,219.0,202.0,1.0405,,0.9706,0.91,1.0283,0.9379,16.2853,,18.9583,18.9523,5.2289,15.9849,15.6518,,19.5333,20.8263,5.0852,17.0427,1.009976
100320,FL,Acute Care Hospitals,Proprietary,1,1,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,,,0.0,12.0,,0.0,,,,51.0,,,,,0.9455,1.023,,1.0248,,,16.9607,20.8375,,15.5891,,,17.9375,20.3683,,15.2116,0.9704719999999999
100321,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,33.0,29.0,17.0,31.0,,,161.0,132.0,143.0,167.0,,,1.0264,1.0139,1.3943,1.0388,,,19.4266,21.3305,7.2139999999999995,17.379,,,18.9266,21.038,5.1738,16.7304,0.9670850000000001
100322,FL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8702409999999999
101300,FL,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101301,FL,Critical Access Hospitals,Proprietary,1,1,3.0,2.0,,3.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101302,FL,Critical Access Hospitals,Government - Hospital District or Authority,1,1,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101303,FL,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101304,FL,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101305,FL,Critical Access Hospitals,Government - Local,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101307,FL,Critical Access Hospitals,Government - Hospital District or Authority,1,1,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101308,FL,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101309,FL,Critical Access Hospitals,Voluntary non-profit - Other,1,1,3.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101310,FL,Critical Access Hospitals,Proprietary,1,1,3.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101311,FL,Critical Access Hospitals,Government - Hospital District or Authority,1,1,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101312,FL,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101313,FL,Critical Access Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,,2.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103300,FL,Childrens,Voluntary non-profit - Other,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103301,FL,Childrens,Voluntary non-profit - Private,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103303,FL,Childrens,Voluntary non-profit - Other,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103304,FL,Childrens,Voluntary non-profit - Private,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110001,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,29.0,,104.0,132.0,17.0,148.0,238.0,,493.0,593.0,276.0,827.0,0.8896,,0.9847,0.9701,1.1469,0.9941,15.0449,,21.3087,22.5798,5.1874,17.9335,16.9126,,21.6388,23.2753,4.5231,18.0403,0.9399559999999999
110002,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,,,28.0,13.0,0.0,42.0,,,160.0,100.0,,254.0,,,1.0334,0.9309999999999999,1.1088,1.0417,,,16.2137,17.1779,4.8739,15.7209,,,15.6904,18.451,4.3955,15.0911,0.9650299999999999
110003,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,21.0,,86.0,97.0,0.0,82.0,103.0,,471.0,345.0,,432.0,1.0388,,0.9367,1.0911,1.0490000000000002,1.0386,18.1664,,19.188,26.4752,5.7432,18.5215,17.4886,,20.4852,24.2647,5.4748,17.8327,0.94947
110004,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,15.0,21.0,,25.0,,,138.0,93.0,,215.0,,,0.8844,1.0216,,0.8763,,,16.6529,21.179000000000002,,14.7429,,,18.8296,20.7309,,16.8239,0.9520040000000001
110005,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,27.0,,112.0,107.0,14.0,104.0,237.0,,527.0,486.0,435.0,609.0,0.8652,,1.0304,0.988,0.8753,0.9873,15.0019,,20.8696,22.1708,3.8124,17.186,17.3388,,20.2543,22.4402,4.3556,17.4063,0.95411
110006,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,12.0,,18.0,36.0,41.0,44.0,138.0,,181.0,243.0,1294.0,304.0,0.89,,0.8425,0.8822,0.8438,0.9768,13.4665,,16.0313,17.8761,3.4211,14.8622,15.1307,,19.0276,20.2633,4.0542,15.2159,0.9996120000000001
110007,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,55.0,29.0,131.0,125.0,17.0,122.0,383.0,141.0,620.0,598.0,404.0,695.0,0.9926,1.1766,1.1059,0.991,0.9524,1.0586,14.4716,16.441,20.0627,20.9953,4.4426,17.134,14.58,13.9736,18.1423,21.186,4.6644,16.1852,0.9811
110008,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,25.0,,40.0,29.0,12.0,55.0,134.0,,202.0,189.0,196.0,429.0,1.0324,,1.003,0.8614,1.1024,0.8391,17.2436,,19.7041,20.2238,5.1462,14.9141,16.7026,,19.6461,23.4783,4.668,17.7729,1.013475
110010,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,54.0,0.0,45.0,158.0,23.0,94.0,317.0,,186.0,758.0,937.0,506.0,0.9699,0.9283,1.0494,0.9545,0.7328,1.0408,17.6164,13.2006,22.4105,21.223000000000003,3.0923,18.1636,18.1632,14.2207,21.3556,22.235,4.2201,17.4523,0.964656
110011,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,37.0,,43.0,84.0,0.0,92.0,196.0,,196.0,349.0,,456.0,1.038,,1.0179,1.0167,0.8887,1.0822,17.7361,,21.3183,23.7688,3.9632,19.2574,17.0862,,20.9441,23.3782,4.4595,17.7941,1.021219
20024,AK,Acute Care Hospitals,Voluntary non-profit - Other,1,3,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,17.0,23.0,0.0,22.0,,,93.0,78.0,,176.0,,,1.0025,1.1018,1.1272,0.96,,,18.1072,21.9237,5.0757,13.6512,,,18.0628,19.8981,4.5028,14.2202,0.8748520000000001
21301,AK,Critical Access Hospitals,Government - Local,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21302,AK,Critical Access Hospitals,Government - Local,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21304,AK,Critical Access Hospitals,Government - Local,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21305,AK,Critical Access Hospitals,Government - Local,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110032,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,18.0,18.0,0.0,50.0,,,106.0,103.0,,361.0,0.9873,,0.9883,0.9645,1.2461,0.9424,18.2875,,17.7002,19.5821,5.3022,14.6713,18.5225,,17.9096,20.3029,4.2549,15.5688,0.9447979999999999
21307,AK,Critical Access Hospitals,Government - Local,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21312,AK,Critical Access Hospitals,Government - Federal,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21313,AK,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110015,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,,13.0,28.0,,22.0,,,96.0,113.0,,127.0,,,0.9368,1.0314,,1.0211,,,18.0666,23.0692,,16.4838,,,19.285,22.3671,,16.1429,0.907226
110016,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,31.0,,51.0,62.0,0.0,45.0,159.0,,297.0,353.0,,313.0,1.0616,,0.9387,0.8908,1.0332,0.9255,17.2802,,18.5789,19.5543,4.4858,15.6447,16.2782,,19.7931,21.9516,4.3416,16.9048,0.939893
110018,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,18.0,,63.0,67.0,0.0,65.0,73.0,,352.0,325.0,,344.0,1.0659999999999998,,0.9677,1.0089,1.1618,1.1226,19.3152,,18.5133,20.4517,5.2327,17.1789,18.1192,,19.1317,20.2722,4.5041,15.3032,0.999883
110023,GA,Acute Care Hospitals,Voluntary non-profit - Church,1,1,5.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,14.0,,36.0,32.0,0.0,47.0,55.0,,213.0,183.0,,447.0,1.0697,,0.9497,0.9323,0.9562,0.7799,18.2886,,18.5008,19.8055,4.5166,13.3068,17.0961,,19.4816,21.2441,4.7235,17.0618,0.919406
110024,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,,94.0,57.0,0.0,78.0,,,548.0,349.0,,485.0,,,0.9238,0.8834,0.9863,0.9638,,,18.1083,18.4566,4.5472,16.4748,,,19.6025,20.8916,4.6105,17.0932,1.049994
110025,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,30.0,,96.0,97.0,22.0,70.0,182.0,,493.0,583.0,501.0,502.0,1.004,,1.0968,0.8932,0.9478,0.9449,16.3527,,18.2689,17.7889,4.6002,14.5107,16.2869,,16.6563,19.9158,4.8535,15.3577,0.9466600000000001
110026,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4.0,2.0,,2.0,3.0,2.0,3.0,,,,0.0,15.0,,37.0,,,,81.0,,210.0,,,0.9939,0.9699,,1.0243,,,18.5743,20.8148,,17.0362,,,18.6887,21.4613,,16.632,0.9512700000000001
110027,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,12.0,20.0,,33.0,,,95.0,103.0,,222.0,,,0.9504,0.9945,,0.9873,,,16.0079,19.7379,,15.1528,,,16.8434,19.8471,,15.3471,1.01765
110028,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,95.0,28.0,91.0,224.0,44.0,251.0,517.0,175.0,485.0,1034.0,1163.0,1141.0,1.0834,1.0548,0.9481,0.9891,0.9209999999999999,1.1992,17.4608,14.9149,19.5007,21.7286,3.9201,21.1478,16.1161,14.1402,20.5676,21.9673,4.2563,17.6352,0.986835
110029,GA,Acute Care Hospitals,Government - Local,1,1,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,95.0,42.0,199.0,232.0,68.0,276.0,739.0,362.0,885.0,1239.0,1484.0,1687.0,0.9047,0.9198,1.08,0.8891,1.0264,0.9695,13.6259,12.4041,21.8955,19.2992,4.5478,16.4549,15.0617,13.4863,20.2734,21.7057,4.4308,16.9722,0.922171
110030,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,18.0,,56.0,51.0,0.0,72.0,107.0,,320.0,267.0,,398.0,1.0093,,0.9285,0.9367,0.9656,1.0056,16.3175,,19.0457,20.5963,4.2639,18.0175,16.1679,,20.5114,21.9871,4.4158,17.9178,0.957
110031,GA,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,24.0,,87.0,74.0,0.0,105.0,169.0,,467.0,328.0,,508.0,0.9745,,1.0036,1.0486,1.1696,1.1382,15.0846,,18.5795,21.6752,5.0781,19.3274,15.4789,,18.5129,20.6705,4.3416,16.9807,1.0375020000000001
110034,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,25.0,0.0,28.0,36.0,0.0,54.0,135.0,,99.0,164.0,,346.0,1.0349,0.8834,1.0872,0.9926,1.0232,0.9552,17.0002,12.0875,22.4779,22.2344,4.6453,16.2906,16.4269,13.6832,20.6744,22.4012,4.5398,17.0553,1.0235450000000001
110035,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,3,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,91.0,34.0,185.0,348.0,53.0,273.0,549.0,208.0,911.0,1579.0,1060.0,1602.0,1.0118,1.0682,0.9992,1.0054,1.0767,1.0092,16.4508,15.2102,20.3131,22.0182,4.8639,17.0116,16.2596,14.2394,20.3288,21.9003,4.5172,16.8569,0.977651
110036,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,1,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,32.0,14.0,44.0,116.0,31.0,56.0,238.0,99.0,278.0,561.0,528.0,521.0,0.9790000000000001,0.9984,0.9154,0.9840000000000001,1.1185,0.7771,13.950999999999999,14.1989,17.9218,20.8535,5.4507,13.1915,14.2503,14.2217,19.5783,21.1925,4.8731,16.9761,0.9803559999999999
110038,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,33.0,,54.0,66.0,20.0,80.0,206.0,,279.0,354.0,329.0,539.0,1.0271,,1.0161,0.9194,1.1584,0.9315,15.2793,,18.9774,20.0908,5.2022,15.5127,14.8761,,18.6769,21.8517,4.4909,16.6534,0.9951629999999999
110039,GA,Acute Care Hospitals,Proprietary,1,1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,0.0,,26.0,25.0,0.0,30.0,,,96.0,90.0,,208.0,1.0390000000000001,,1.129,1.0917,1.001,0.9831,17.9331,,18.8331,21.7803,4.7784,14.8342,17.2608,,16.6812,19.9515,4.7736,15.0894,0.96901
110040,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2.0,2.0,,2.0,1.0,2.0,3.0,,0.0,,18.0,26.0,,25.0,,,83.0,114.0,,139.0,0.9953,,1.0318,1.0247,,1.0355,19.5791,,19.2106,21.4994,,16.711,19.672,,18.6194,20.9809,,16.1389,0.940786
110041,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,24.0,25.0,0.0,80.0,,,152.0,91.0,,390.0,,,0.9502,1.0673,0.9686,1.1641,,,17.9828,23.0321,4.7984,18.5018,,,18.925,21.5796,4.9542,15.8932,0.950566
110042,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,,,31.0,37.0,0.0,39.0,,,207.0,148.0,,260.0,,,0.9314,1.0648,1.0629,0.9723,,,17.2007,22.3815,4.4348,15.5481,,,18.4679,21.0194,4.1725,15.9908,0.894618
110043,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,35.0,30.0,58.0,88.0,49.0,75.0,256.0,212.0,386.0,448.0,1387.0,383.0,0.9836,1.0054,0.9091,0.9624,0.8945,1.1082,14.0368,14.0614,16.615,20.1627,3.6881,18.1916,14.2702,13.9857,18.2759,20.9515,4.1232,16.4154,0.967633
110044,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,15.0,23.0,0.0,24.0,,,92.0,120.0,,156.0,,,0.992,0.9953,1.0607,0.9823,,,16.8563,19.3993,4.7526,15.9634,,,16.9919,19.4902,4.4805,16.2508,0.9058719999999999
110045,GA,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,,2.0,1.0,2.0,2.0,,,,24.0,16.0,,22.0,,,126.0,117.0,,125.0,,,0.9979,0.9119,,1.0271,,,19.1607,18.3773,,16.5104,,,19.202,20.1536,,16.0754,0.942267
110046,GA,Acute Care Hospitals,Proprietary,1,1,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,0.0,,18.0,26.0,0.0,38.0,,,154.0,170.0,,223.0,0.9902,,0.8914,0.8909,0.9702,1.042,16.422,,16.517,19.4206,3.9815,16.114,16.5853,,18.53,21.7987,4.1036,15.4652,0.97969
110050,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,,2.0,,1.0,2.0,,,,0.0,,,0.0,0.0,,,,,,,,0.934,,,0.93,,,17.5043,,,15.2641,,,18.7403,,,16.4126,0.813504
110051,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,,0.0,26.0,0.0,50.0,,,,112.0,,320.0,,,0.9362,1.0266,1.0552,0.983,,,15.9595,21.7773,4.1654,15.8967,,,17.0466,21.2141,3.9476,16.171,0.8982899999999999
110054,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,40.0,,97.0,89.0,17.0,115.0,236.0,,477.0,411.0,338.0,747.0,0.9862,,0.9961,0.9791,1.0242,0.9052,17.2976,,20.3903,21.9716,4.8906,16.082,17.5388,,20.4702,22.4397,4.775,17.7668,1.021393
110064,GA,Acute Care Hospitals,Voluntary non-profit - Other,1,1,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,16.0,,41.0,47.0,,61.0,57.0,,180.0,217.0,,319.0,1.0971,,1.0170000000000001,0.9941,,1.034,18.3124,,22.1285,21.829,,18.5714,16.6913,,21.759,21.9596,,17.9607,1.042118
110069,GA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,31.0,,146.0,143.0,28.0,159.0,197.0,,620.0,602.0,290.0,785.0,0.9761,,1.1353,1.0177,1.393,1.0912,16.4585,,22.1633,23.5703,7.3701,19.6641,16.8622,,19.5222,23.1606,5.2909,18.0212,0.984878
110071,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,,2.0,1.0,2.0,3.0,,,,12.0,0.0,,17.0,,,78.0,,,109.0,,,0.9701,0.9992,,1.0037,,,17.9257,19.6228,,15.4248,,,18.479,19.6378,,15.3675,0.893667
110073,GA,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,,2.0,2.0,2.0,3.0,1.0,,,11.0,15.0,,27.0,,,83.0,57.0,,125.0,,,0.9427,1.0362,,1.1092,,,17.8702,22.458000000000002,,17.3713,,,18.9555,21.6728,,15.6604,0.9959049999999999
